Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C4, C5, C9",0603,5,10uF,C19711
C10,0402,1,22nF,C1556
C11,0603,1,470pF,C19711
"C12, C13, C14, C2, C3, C6, C8",0402,7,100nF,C1525
C15,0603,1,22uF,C86295
C16,0402,1,1uF,C52923
C7,0603,1,1uF,C19711
D1,SOT-666-6_L1.6-W1.2-P0.50-LS1.6-BL,1,USBLC6-2P6_C2827693,C2827693
"D2, D6, D7, D8",DIO-SMD_L2.0-W1.9-LS3.8-RD,4,D_Small_Filled,C32150
"D3, D4",0805,2,LED,
FB1,L0603,1,120R@100MHz~0.05DCR,C14709
J2,PinHeader_2x05_P2.54mm_Vertical_SMD,1,Conn_02x05_Counter_Clockwise,
J3,PinHeader_1x09_P2.54mm_Vertical_SMD_Pin1Left,1,Conn_01x09_Pin,
Q3,SC-70-6_L2.2-W1.3-P0.65-LS2.1-BR,1,UMH3N,C62892
"R10, R11, R12, R9",0402,4,49.9 1%,
"R13, R18, R3",0402,3,0R,
"R14, R15, R19, R20, R24, R6, R7, R8",0402,8,10k,
"R16, R17, R21, R22",0402,4,5k1,
"R25, R26",0402,2,270R,
R4,0402,1,33R,
R5,0402,1,12k1 1%,
RJ1,RJ45-TH_RB1-125BAG1A,1,RB1-125BAG1A,C910370
"SW2, SW3",KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6,2,SKRPACE010,C139797
TP6,TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded,1,TestPoint_Small,C5199801
U1,QFN-24_L4.0-W4.0-P0.50-BL-EP2.6,1,LAN8720A-CP-TR,C45223
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U3,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,1,CH340C,C84681
U4,WIFI-SMD_ESP32-WROOM-32UE,1,ESP32-WROOM-32UE,C701344
USB1,USB-C-SMD_TYPEC-303-ACP16,1,TYPEC-303-ACP16,C720628
X1,OSC-SMD_4P-L2.5-W2.0-BL,1,ECS-2520MV-250-CN-TR,C405464
