Designator,Mid X,Mid Y,Rotation,Layer
C1,159.35,-108.55,270.0,top
C10,128.65,-105.7,180.0,top
C12,155.6,-81.9,0.0,top
C14,145.45,-89.4,180.0,top
C15,160.05,-110.9,0.0,top
C16,167.05,-82.9,90.0,top
C2,134.3,-111.6,90.0,top
C3,135.35,-107.35,225.0,top
C4,132.9,-106.5,315.0,top
C5,141.55,-101.3,0.0,top
C6,139.6,-102.7,0.0,top
C7,139.3,-110.85,270.0,top
C8,142.05,-108.6,0.0,top
C9,155.38,-83.21,180.0,top
D1,148.952787,-88.391391,180.0,top
D2,121.1,-109.1625,270.0,top
D3,166.85,-110.15,0.0,top
D4,163.35,-110.15,0.0,top
D6,155.2,-86.01,90.0,top
D7,178.75,-106.2,45.0,top
D8,119.2,-87.8625,270.0,top
FB1,142.8,-98.5,90.0,top
J2,175.8,-102.72,0.0,bottom
J3,119.5,-102.8,0.0,bottom
Q1,128.9,-107.95,0.0,top
Q3,158.8,-84.0,180.0,top
R1,131.2,-108.15,270.0,top
R10,133.4,-102.6,0.0,top
R11,137.5,-102.6,0.0,top
R12,135.4,-102.6,180.0,top
R13,128.64,-103.3,180.0,top
R14,178.428253,-103.530687,270.0,top
R15,159.2,-82.25,180.0,top
R16,150.852787,-87.591391,180.0,top
R17,148.6,-81.75,180.0,top
R18,128.64,-104.55,0.0,top
R19,178.392897,-97.626346,270.0,top
R20,145.3,-107.2,315.0,top
R21,165.85,-108.05,90.0,top
R22,162.35,-108.05,90.0,top
R23,131.2,-110.2,270.0,top
R3,126.1,-104.1,135.0,top
R4,142.75,-104.95,180.0,top
R5,134.839376,-105.539376,315.0,top
R6,143.8,-108.85,270.0,top
R7,157.639313,-103.742819,270.0,top
R8,175.49376,-105.333809,180.0,top
R9,131.4,-102.6,180.0,top
RJ1,132.03,-93.186,180.0,top
SW2,170.5,-82.85,180.0,top
SW3,163.55,-82.794112,180.0,top
U1,139.2,-106.4,45.0,top
U2,154.1,-110.0,0.0,top
U3,150.190287,-93.876391,90.0,top
U4,168.0,-95.42,0.0,top
USB1,149.002787,-84.051391,0.0,top
X1,136.6,-110.5,0.0,top
